team,name,number,position,overall
Pacific FC,Jamar Dixon,0,m,0.0
Valour FC,James Pantemis,0,g,0.0
Valour FC,Raphaël Garcia,2,d,0.46
Valour FC,Yohan Le Bourhis,25,d,0.21
Valour FC,Chakib Hocine,4,d,0.08
Valour FC,Amir Soto,0,d,0.0
Valour FC,Diego Gutiérrez,8,m,0.41
Valour FC,Raphael Ohin,27,m,0.36
Valour FC,Dylan Carreiro,10,m,0.34
Valour FC,José Galán,21,m,0.26
Valour FC,Austin Ricci,7,f,0.09
Valour FC,Federico Peña,77,f,0.05
Valour FC,Andrew Jean-Baptiste,0,d,0.0
Valour FC,Arnold Bouka Moutou,0,d,0.0
Valour FC,Nicolás Galvis,14,m,0.17
Valour FC,Brett Levis,0,m,0.0
Valour FC,Fraser Aird,0,m,0.0
Valour FC,Daryl Fordyce,0,f,0.0
Valour FC,Mastanabal Kacher,0,f,0.0
Valour FC,Shaan Hundal,7,f,0.0
York9 FC,Nathan Ingham,29,g,0.93
York9 FC,Luca Gasparotto,13,d,0.83
York9 FC,Diyaeddine Abzi,20,d,0.72
York9 FC,Matthew Arnone,0,d,0.67
York9 FC,Morey Doner,3,d,0.66
York9 FC,Ryan Telfer,18,m,0.7
York9 FC,Manuel Aparicio,10,m,0.64
York9 FC,Kyle Porter,19,m,0.55
York9 FC,Joseph Di Chiara,8,m,0.47
York9 FC,Carlos Filho,0,f,0.0
York9 FC,Gabriel Vasconcelos,0,f,0.0
York9 FC,Roger Thompson,6,d,0.23
York9 FC,Fugo Segawa,0,d,0.0
York9 FC,Ijah Halley,0,d,0.0
York9 FC,Wataru Murofushi,23,m,0.45
York9 FC,Michael Petrasso,21,m,0.4
York9 FC,Brian López,0,m,0.0
York9 FC,Nicholas Hamilton,0,f,0.0
