team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOnHfScs,PsOpHfScs,SucflDuels,Touches,DuelLs,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3
Atlético Ottawa,Malyk Hamilton,90,0.0,0.0,0,0,2,34,11,20,1,50,5,2,2,12,26,20,3
Atlético Ottawa,Francisco Javier Acuña Víctor,90,0.05,0.08,0,0,6,47,9,32,8,70,5,3,4,30,37,27,14
Atlético Ottawa,Francisco Javier Acuña Víctor,74,0.33,0.1,2,0,5,38,8,25,5,57,5,2,6,29,23,16,14
Atlético Ottawa,Francisco Javier Acuña Víctor,53,0.0,0.61,0,0,5,40,10,24,4,51,5,1,7,26,22,15,17
Atlético Ottawa,Francisco Javier Acuña Víctor,90,0.0,0.21,0,0,7,33,4,21,4,49,8,2,4,27,18,11,13
Atlético Ottawa,Francisco Javier Acuña Víctor,89,0.0,0.05,0,0,1,27,9,15,4,44,3,1,5,17,21,15,7
Atlético Ottawa,Francisco Javier Acuña Víctor,45,0.0,0.0,0,0,2,8,3,2,1,13,5,1,3,6,6,2,2
Valour,Stefan Cebara,90,0.0,0.0,0,0,2,35,24,3,6,69,5,10,13,11,28,9,3
Valour,Stefan Cebara,90,0.0,0.0,0,0,3,41,15,18,4,61,3,3,2,14,23,13,9
Valour,Stefan Cebara,66,0.0,0.44,0,0,2,44,19,23,4,61,3,4,6,21,24,16,14
Valour,Stefan Cebara,90,0.27,0.03,0,1,12,32,8,11,4,50,8,4,4,21,16,4,9
Valour,Stefan Cebara,77,0.07,0.03,0,0,3,24,11,7,3,35,2,0,2,9,12,6,3
Valour,Stefan Cebara,45,0.0,0.05,0,0,6,26,11,9,0,32,3,0,3,8,16,11,5
Valour,Fraser Aird,90,0.05,0.07,0,0,3,42,8,29,2,67,4,3,5,38,17,16,19
Valour,Fraser Aird,67,0.86,0.15,1,0,6,40,8,24,2,61,4,1,5,33,22,13,16
Valour,Fraser Aird,90,0.0,0.04,0,0,6,25,6,11,1,37,6,1,7,12,19,9,4
Valour,Fraser Aird,86,0.15,0.36,0,1,9,27,9,9,2,37,5,1,3,10,17,10,3
Valour,Fraser Aird,58,0.06,0.21,0,1,2,16,2,10,0,27,2,0,1,13,11,8,4
Valour,Fraser Aird,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Víctor Martínez Manrique,90,0.03,0.0,0,0,7,50,16,25,2,66,6,6,7,9,40,31,3
Atlético Ottawa,Víctor Martínez Manrique,90,0.0,0.0,0,0,8,36,18,7,6,59,9,7,2,3,38,19,1
Atlético Ottawa,Víctor Martínez Manrique,90,0.0,0.0,0,0,7,38,20,8,4,48,3,4,8,2,28,17,0
Atlético Ottawa,Víctor Martínez Manrique,90,0.06,0.0,0,1,5,34,13,14,4,46,4,1,2,7,24,17,3
Atlético Ottawa,Víctor Martínez Manrique,90,0.69,0.0,1,1,5,25,11,8,5,38,8,4,4,4,22,12,0
Atlético Ottawa,Víctor Martínez Manrique,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalry,Nikolas Ledgerwood,89,0.0,0.22,0,0,7,52,22,23,3,64,3,2,8,17,43,37,5
Cavalry,Nikolas Ledgerwood,85,0.12,0.33,0,1,9,27,4,14,7,44,10,3,5,20,23,13,5
Cavalry,Nikolas Ledgerwood,77,0.0,0.0,0,0,9,24,6,8,5,38,2,5,6,18,12,8,4
Cavalry,Nikolas Ledgerwood,19,0.0,0.0,0,0,3,11,3,3,1,15,1,1,1,5,7,1,2
Cavalry,Nikolas Ledgerwood,6,0.0,0.08,0,0,1,6,4,0,0,9,1,2,0,1,4,3,0
Cavalry,Nikolas Ledgerwood,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Victor Blasco,90,0.06,0.69,0,1,8,37,8,21,5,61,6,3,5,33,23,16,11
Pacific,Victor Blasco,90,0.44,0.12,1,0,6,36,6,24,6,60,4,6,13,35,18,10,17
Pacific,Victor Blasco,72,0.27,0.17,0,2,9,30,8,12,11,57,7,2,4,27,23,11,7
Pacific,Victor Blasco,89,0.79,0.74,0,1,1,26,11,12,8,49,6,2,7,22,18,14,6
Pacific,Victor Blasco,90,0.11,0.13,0,2,7,25,7,10,5,44,4,1,3,23,18,10,5
Pacific,Victor Blasco,25,0.19,0.0,0,1,3,14,1,10,1,25,4,1,1,13,10,5,5
Pacific,Marco Bustos,90,0.26,0.24,0,1,5,31,9,17,11,60,4,1,5,35,20,12,11
Pacific,Marco Bustos,83,0.41,0.06,1,0,4,39,10,24,7,58,4,0,2,27,29,18,16
Pacific,Marco Bustos,81,0.36,0.24,1,0,4,42,16,21,4,53,5,0,3,22,27,18,15
Pacific,Marco Bustos,89,0.16,0.05,0,2,5,31,9,17,5,51,7,2,5,21,24,16,8
Pacific,Marco Bustos,90,0.11,0.04,0,1,3,23,4,16,5,42,2,0,4,24,17,10,9
Pacific,Marco Bustos,65,0.21,0.18,0,2,3,27,6,18,4,40,6,1,3,24,14,10,13
York9,Kyle Porter,90,0.0,0.19,0,0,0,39,11,27,4,60,2,3,4,23,30,28,8
York9,Kyle Porter,82,0.03,0.25,0,0,5,31,8,17,4,39,3,1,5,19,17,14,9
York9,Kyle Porter,79,0.45,0.06,1,0,1,20,11,8,2,37,7,1,2,16,19,15,3
York9,Kyle Porter,55,0.0,0.09,0,0,6,26,8,12,0,32,2,0,2,10,21,16,3
York9,Kyle Porter,61,0.06,0.03,0,1,4,12,3,5,1,21,2,4,2,7,10,6,2
York9,Kyle Porter,5,0.0,0.0,0,0,1,4,2,1,1,7,2,1,1,1,5,2,1
HFX Wanderers,Andre Rampersad,90,0.0,0.0,0,0,6,50,24,20,5,59,2,2,3,8,37,29,3
HFX Wanderers,Andre Rampersad,90,0.0,0.04,0,0,5,42,17,19,10,57,3,3,7,14,38,26,9
HFX Wanderers,Andre Rampersad,82,0.09,0.28,0,1,2,37,22,11,7,53,7,9,7,9,29,23,3
HFX Wanderers,Andre Rampersad,90,0.0,0.24,0,0,3,31,18,10,8,45,5,1,5,13,30,20,6
HFX Wanderers,Andre Rampersad,90,0.0,0.1,0,0,4,27,8,13,5,44,5,6,10,13,24,15,4
HFX Wanderers,Andre Rampersad,32,0.0,0.0,0,0,1,10,3,5,5,16,1,2,0,1,11,5,1
Edmonton,Hanson Boakai,90,0.06,0.04,0,1,5,44,15,24,5,59,2,3,3,24,32,26,12
Edmonton,Hanson Boakai,77,0.16,0.0,0,0,2,26,12,12,4,46,8,4,6,13,25,18,5
Edmonton,Hanson Boakai,28,0.07,0.09,0,0,2,26,4,20,2,40,3,1,4,21,19,14,10
Edmonton,Hanson Boakai,45,0.0,0.0,0,0,4,14,2,7,3,23,2,0,0,10,10,4,4
Edmonton,Hanson Boakai,45,0.0,0.0,0,0,0,7,4,3,2,16,3,1,3,5,7,4,2
Edmonton,Hanson Boakai,24,0.0,0.0,0,0,3,8,0,5,2,16,4,0,2,7,8,5,0
HFX Wanderers,Cory Bent,90,0.04,0.38,0,1,8,32,7,13,10,58,12,3,9,29,15,8,7
HFX Wanderers,Cory Bent,86,0.04,0.08,0,1,8,20,2,8,6,32,5,3,5,16,9,1,8
HFX Wanderers,Cory Bent,58,0.04,0.08,1,0,2,17,5,8,1,26,3,1,4,16,6,5,7
HFX Wanderers,Cory Bent,31,0.05,0.0,0,0,1,11,3,7,2,22,3,2,3,6,12,8,2
HFX Wanderers,Cory Bent,70,0.0,0.0,0,0,5,9,0,4,4,21,4,2,0,13,6,1,3
HFX Wanderers,Cory Bent,2,0.0,0.0,0,0,1,1,0,0,0,3,1,0,0,0,2,0,0
Forge,Paolo Sabak,77,0.88,0.0,1,1,6,41,14,20,4,57,5,3,3,26,20,14,14
Forge,Paolo Sabak,79,0.05,0.0,0,1,4,46,14,26,5,55,5,0,5,22,28,22,15
Forge,Paolo Sabak,90,0.02,0.58,0,0,4,40,13,22,1,49,3,1,8,18,23,18,11
Forge,Paolo Sabak,80,0.04,0.11,0,1,5,33,16,11,6,46,5,2,2,12,22,17,4
Forge,Paolo Sabak,90,0.0,0.17,0,0,7,35,8,18,6,45,6,1,9,20,16,10,11
Forge,Paolo Sabak,34,0.03,0.05,0,0,5,21,3,10,6,31,3,1,1,10,15,5,6
Atlético Ottawa,Ajay Khabra,90,0.0,0.05,0,0,6,48,18,23,6,57,7,3,10,13,27,20,11
Atlético Ottawa,Ajay Khabra,45,0.0,0.0,0,0,1,23,9,11,1,29,2,1,1,4,22,17,2
Atlético Ottawa,Ajay Khabra,63,0.0,0.0,0,0,2,25,14,9,0,27,3,0,1,2,18,15,2
Atlético Ottawa,Ajay Khabra,64,0.0,0.0,0,0,4,23,7,10,1,24,4,1,4,2,16,12,2
Atlético Ottawa,Ajay Khabra,27,0.06,0.0,0,0,0,6,2,3,0,9,3,1,1,3,4,3,2
Atlético Ottawa,Ajay Khabra,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Ryan Telfer,90,0.08,0.12,0,1,6,32,10,15,4,55,7,5,8,28,15,11,10
York9,Ryan Telfer,90,0.36,0.09,0,3,5,23,6,11,10,54,5,5,5,31,20,11,5
York9,Ryan Telfer,90,0.05,0.07,0,1,4,20,7,9,10,50,7,2,4,25,14,7,5
York9,Ryan Telfer,90,0.24,0.13,0,0,11,27,8,7,7,48,3,2,2,27,17,7,5
York9,Ryan Telfer,90,0.55,0.1,0,0,3,25,6,16,5,45,7,1,5,25,14,8,10
York9,Ryan Telfer,80,0.0,0.36,0,0,2,11,2,6,2,22,4,2,1,9,8,5,3
Edmonton,Yong-Chan Son,90,0.0,0.04,0,0,4,43,21,16,2,54,2,1,6,15,27,22,5
Edmonton,Yong-Chan Son,62,0.0,0.05,0,0,2,12,5,5,2,30,2,4,2,10,13,5,3
Edmonton,Yong-Chan Son,61,0.0,0.1,0,0,1,12,2,7,1,26,3,1,0,13,8,2,6
Edmonton,Yong-Chan Son,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Yong-Chan Son,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Yong-Chan Son,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valour,Dylan Carreiro,90,1.46,0.13,0,2,8,32,10,13,5,54,4,1,2,22,24,12,7
Valour,Dylan Carreiro,45,0.0,0.0,0,0,3,23,8,11,4,34,0,2,2,11,16,12,4
Valour,Dylan Carreiro,59,0.0,0.14,0,0,1,26,9,14,3,34,0,0,2,14,16,14,7
Valour,Dylan Carreiro,64,0.0,0.0,0,0,2,11,1,8,2,15,2,1,1,7,8,5,4
Valour,Dylan Carreiro,23,0.17,0.07,1,0,0,9,3,6,0,15,1,0,1,9,6,5,4
Valour,Dylan Carreiro,32,0.0,0.0,0,0,3,7,1,3,5,15,1,1,1,10,3,0,3
Cavalry,Bruno Zebie,84,0.0,0.0,0,0,3,40,27,8,7,54,2,5,7,7,33,22,2
Cavalry,Bruno Zebie,84,0.09,0.0,0,2,2,27,20,5,5,44,4,3,6,10,25,17,3
Cavalry,Bruno Zebie,71,0.0,0.0,0,0,6,33,14,11,5,42,3,3,5,6,25,18,2
Cavalry,Bruno Zebie,13,0.0,0.0,0,0,0,4,1,3,4,13,3,3,1,5,5,1,2
Cavalry,Bruno Zebie,5,0.0,0.0,0,0,0,4,4,0,0,8,1,0,1,1,4,3,0
Cavalry,Bruno Zebie,1,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Atlético Ottawa,Ben McKendry,90,0.03,0.0,0,0,6,39,15,13,3,53,9,5,4,6,27,19,2
Atlético Ottawa,Ben McKendry,90,0.0,0.06,0,0,5,37,11,16,6,52,2,10,5,9,29,17,6
Atlético Ottawa,Ben McKendry,45,0.0,0.0,0,0,3,32,14,14,3,44,5,3,5,10,26,19,6
Atlético Ottawa,Ben McKendry,27,0.0,0.0,0,0,7,20,9,3,4,27,1,4,3,4,16,8,1
Atlético Ottawa,Ben McKendry,40,0.03,0.0,0,0,2,18,7,9,5,24,1,4,2,8,12,7,6
Atlético Ottawa,Ben McKendry,26,0.0,0.0,0,0,1,12,1,9,0,15,3,0,1,5,6,5,4
York9,Wataru Murofushi,81,0.0,0.0,0,0,3,45,26,16,6,53,1,1,5,3,33,25,2
York9,Wataru Murofushi,68,0.09,0.47,0,2,4,39,15,19,4,51,4,4,7,12,30,20,6
York9,Wataru Murofushi,85,0.04,0.08,0,0,2,45,19,22,2,49,3,0,2,13,33,30,8
York9,Wataru Murofushi,35,0.0,0.0,0,0,4,41,16,21,1,44,2,1,2,4,36,33,2
York9,Wataru Murofushi,37,0.0,0.0,0,0,2,25,5,18,0,30,2,1,4,8,21,15,7
York9,Wataru Murofushi,11,0.0,0.0,0,0,0,8,2,4,1,11,2,0,3,4,4,3,2
Atlético Ottawa,Ben Fisk,90,0.06,0.4,0,0,5,27,9,10,4,46,8,4,5,18,16,7,5
Atlético Ottawa,Ben Fisk,88,0.04,0.0,0,0,1,25,9,14,6,43,8,5,2,14,24,14,7
Atlético Ottawa,Ben Fisk,90,0.06,0.0,0,1,3,33,14,14,2,37,4,0,4,14,16,12,10
Atlético Ottawa,Ben Fisk,90,0.0,0.03,0,0,6,25,5,14,1,35,3,3,0,15,14,10,7
Atlético Ottawa,Ben Fisk,90,0.07,0.0,1,0,2,20,4,11,1,35,5,4,7,7,16,14,1
Atlético Ottawa,Ben Fisk,63,0.04,0.03,0,1,3,19,9,7,2,34,6,2,5,12,16,9,3
Pacific,Noah Verhoeven,64,0.0,0.07,0,0,7,36,9,19,5,46,4,2,2,15,27,17,10
Pacific,Noah Verhoeven,45,0.22,0.03,0,0,6,26,11,8,3,39,2,2,5,11,24,14,2
Pacific,Noah Verhoeven,64,0.0,0.0,0,0,6,29,9,13,2,34,1,0,3,11,19,12,7
Pacific,Noah Verhoeven,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Noah Verhoeven,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Noah Verhoeven,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Jamar Dixon,90,0.03,0.0,0,0,8,37,11,17,2,44,2,2,5,9,27,20,5
Pacific,Jamar Dixon,90,0.89,0.05,1,1,1,28,10,15,5,37,7,3,4,9,24,17,6
Pacific,Jamar Dixon,61,0.0,0.0,0,0,5,24,5,13,4,32,6,4,5,11,19,13,5
Pacific,Jamar Dixon,72,0.0,0.06,0,0,3,20,4,12,3,29,3,4,2,5,15,10,4
Pacific,Jamar Dixon,71,0.46,0.11,0,1,2,19,6,11,3,29,4,2,5,11,15,13,3
Pacific,Jamar Dixon,26,0.0,0.0,0,0,1,4,1,2,1,8,2,2,1,1,5,2,0
HFX Wanderers,Alex Marshall,90,0.0,0.0,0,0,9,29,8,10,8,44,2,5,6,20,12,8,5
HFX Wanderers,Alex Marshall,79,0.0,0.06,0,0,2,21,7,12,5,39,11,3,7,13,22,14,4
HFX Wanderers,Alex Marshall,79,0.0,0.46,0,0,3,11,5,3,5,27,8,1,1,13,11,5,2
HFX Wanderers,Alex Marshall,45,0.08,0.12,0,1,0,12,5,7,2,21,4,0,2,10,9,6,4
