team,name,position,number,nationality,dob,image,flag,link,overall,display
Cavalry FC,Jair Ayrton Córdova Carpio,f,19,Peru,1996-08-18,Jair-Cordova.jpg,Peru.png,https://en.wikipedia.org/wiki/Jair_Córdova,0.02,Jair Córdova
Cavalry FC,Jonathan Wheeldon,d,14,England,1988-08-28,Jonathan-Wheeldon.jpg,England.png,https://en.wikipedia.org/wiki/Jonathan_Wheeldon,0.31,Jay Wheeldon
Cavalry FC,Jordan Brown,f,9,England,1996-11-10,Jordan-Brown.jpg,England.png,https://en.wikipedia.org/wiki/Jordan_Brown,0.45,Jordan Brown
Cavalry FC,José Hernández,f,20,Canada,2000-03-19,Jose-Hernandez.jpg,Canada.png,https://en.wikipedia.org/wiki/Jose_Hernandez,0.02,Jose Hernandez
Cavalry FC,Marco Carducci,g,1,Canada,1995-09-25,Marco-Carducci.jpg,Canada.png,https://en.wikipedia.org/wiki/Marco_Carducci,0.55,Marco Carducci
Cavalry FC,Mason Trafford,d,5,Canada,1986-08-21,Mason-Trafford.jpg,Canada.png,https://en.wikipedia.org/wiki/Mason_Trafford,0.43,Mason Trafford
Cavalry FC,Mohamed Farsi,d,21,Canada,1999-12-16,Mohamed-Farsi.jpg,Canada.png,https://en.wikipedia.org/wiki/Mohamed_Farsi,0.44,Mohamed Farsi
Cavalry FC,Nathan Mavila,d,3,England,1993-10-15,Nathan-Mavila.jpg,England.png,https://en.wikipedia.org/wiki/Nathan_Mavila,0.58,Nathan Mavila
Cavalry FC,Nico Pasquotti,f,17,Canada,1995-10-18,Nico-Pasquotti.jpg,Canada.png,https://en.wikipedia.org/wiki/Nico_Pasquotti,0.52,Nico Pasquotti
Cavalry FC,Nikolas Ledgerwood,m,6,Canada,1985-01-16,Nik-Ledgerwood.jpg,Canada.png,https://en.wikipedia.org/wiki/Nikolas_Ledgerwood,0.66,Nik Ledgerwood
Cavalry FC,Nikolaos Giantsopoulos,g,22,Canada,1994-06-24,Niklas-Giantsopoulos.jpg,Canada.png,https://en.wikipedia.org/wiki/Nikolas_Giantsopoulos,0.12,Niko Giantsopoulos
Cavalry FC,Oliver Minatel,f,7,Brazil,1992-08-29,Oliver-Minatel.jpg,Brazil.png,https://en.wikipedia.org/wiki/Oliver_Minatel,0.45,Oliver Minatel
Cavalry FC,Robert Boskovic,d,25,Canada,1998-07-01,Robert-Boskovic.jpg,Canada.png,https://en.wikipedia.org/wiki/Robert_Boskovic,0.27,Robert Boskovic
Cavalry FC,Sergio Camargo,m,10,Canada,1994-08-16,Sergio-Camargo.jpg,Canada.png,https://en.wikipedia.org/wiki/Sergio_Camargo,0.27,Sergio Camargo
Cavalry FC,Marcus Haber,f,29,Canada,1989-01-11,HABER.jpg,Canada.png,https://en.wikipedia.org/wiki/Marcus_Haber,0.49,Marcus Haber
Cavalry FC,Dean Northover,d,12,Canada,1991-09-04,NORTHOVER.jpg,Canada.png,https://en.wikipedia.org/wiki/Dean_Northover,0.27,Dean Northover
Cavalry FC,Oluwatofarati Fakunle,f,25,Canada,#VALUE!,Fakunle_Tofa-1.jpg,Canada.png,https://en.wikipedia.org/wiki/Oluwatofarati_Fakunle,0.0,Tofa Fakunle
FC Edmonton,Allan Zebie,d,4,Canada,1993-05-29,Allan-Zebie.1.png,Canada.png,https://en.wikipedia.org/wiki/Allan_Zebie,0.36,Allan Zebie
FC Edmonton,Amer Didic,d,55,Canada,1994-12-28,Amer-Didić.1.png,Canada.png,https://en.wikipedia.org/wiki/Amer_Didic,0.18,Amer Didic
FC Edmonton,Antony Caceres,m,20,Canada,2000-01-31,Antony-Caceres.1.png,Canada.png,https://en.wikipedia.org/wiki/Anthony_Caceres,0.39,Anthony Caceres
FC Edmonton,Chance Carter,m,14,Canada,2001-09-15,Chance-Carter.1.png,Canada.png,https://en.wikipedia.org/wiki/Chance_Carter,0.33,Chance Carter
FC Edmonton,Connor James,g,1,Canada,1996-07-17,Connor-James.1.png,Canada.png,https://en.wikipedia.org/wiki/Connor_James,0.52,Connor James
FC Edmonton,David Doe,f,26,Canada,2000-11-30,David-Doe.1.png,Canada.png,https://en.wikipedia.org/wiki/David_Doe,0.03,David Doe
FC Edmonton,Duran Lee,d,23,Canada,1995-05-09,Duran-Lee.1.png,Canada.png,https://en.wikipedia.org/wiki/Duran_Lee,0.18,Duran Lee
FC Edmonton,Dylon Powley,g,13,Canada,1996-09-05,Dylon-Powley.1.png,Canada.png,https://en.wikipedia.org/wiki/Dylon_Powley,0.07,Dylon Powley
FC Edmonton,Easton Ongaro,f,19,Canada,1998-06-05,Easton-Ongaro.1.png,Canada.png,https://en.wikipedia.org/wiki/Easton_Ongaro,0.43,Easton Ongaro
FC Edmonton,Edem Mortotsi,m,6,Ghana,1993-04-16,Edem-Mortotsi.1.png,Ghana.png,https://en.wikipedia.org/wiki/Edem_Mortotsi,0.29,Edem Mortotsi
FC Edmonton,Erik Zetterberg,m,21,Sweden,1997-02-16,Erik-Zetterberg.1.png,Sweden.png,https://en.wikipedia.org/wiki/Erik_Zetterberg,0.61,Erik Zetterberg
FC Edmonton,Hanson Boakai,m,10,Canada,1996-10-28,Hanson-Boakai.1.png,Canada.png,https://en.wikipedia.org/wiki/Hanson_Boakai,0.43,Hanson Boakai
FC Edmonton,Jeannot Esua,d,3,Cameroon,1996-08-08,Jeannot-Esua.1.png,Cameroon.png,https://en.wikipedia.org/wiki/Jeannot_Esua,0.55,Jeannot Esua
FC Edmonton,Kareem Moses,d,12,Trinidad and Tobago,1990-02-11,Kareem-Moses.1.png,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Kareem_Moses,0.11,Kareem Moses
FC Edmonton,Keven Steven Alemán Bustos,m,11,Canada,1994-03-25,Steven-Keven-Alemán-Bustos.jpg,Canada.png,https://en.wikipedia.org/wiki/Keven_Alemán,0.63,Keven Alemán
FC Edmonton,Marcus Velado-Tsegaye,f,17,Canada,2001-07-02,Marcus-Velado-Tsegaye.1.png,Canada.png,https://en.wikipedia.org/wiki/Marcus_Velado-Tsegaye,0.25,Marcus Velado-Tsegaye
FC Edmonton,Mélé Temguia,d,8,Germany,1995-08-01,Mélé-Temguia.1.png,Germany.png,https://en.wikipedia.org/wiki/Mélé_Temguia,0.53,Mélé Temguia
FC Edmonton,Prince Amanda,f,16,Canada,2001-03-23,Prince-Amanda.1.png,Canada.png,https://en.wikipedia.org/wiki/Prince_Amanda,0.15,Prince Amanda
FC Edmonton,Ramon Soria,d,5,Spain,1989-03-07,Ramón-Soria.1.png,Spain.png,https://en.wikipedia.org/wiki/Ramón_Soria,0.46,Ramon Soria
FC Edmonton,Yong-Chan Son,m,7,South Korea,1991-04-15,Yongchan-Son.1.png,SouthKorea.png,https://en.m.wikipedia.org/wiki/Son_Yong-chan,0.37,Yong-Chan Son
FC Edmonton,Tomi Ameobi,f,18,England,1988-08-16,Tomi-Ameobi.1.png,England.png,https://en.wikipedia.org/wiki/Tomi_Ameobi,0.23,Tomi Ameobi
FC Edmonton,Samuel Gardner,d,33,Canada,1997-04-04,Samuel-Gardner.jpg,Canada.png,https://en.wikipedia.org/wiki/FC_Edmonton,0.12,Sam Gardner
FC Edmonton,Terique Mohammed,d,57,Canada,2000-01-27,Terique-Mohammed.jpg,Canada.png,https://en.wikipedia.org/wiki/Terique_Mohammed,0.37,Terique Mohammed
Forge FC,Alexander Börje Achinioti-Jönsson,m,13,Sweden,1996-04-17,Alexander-Achinioti-Jönsson.1.jpg,Sweden.png,https://en.wikipedia.org/wiki/Alexander_Achinioti-Jönsson,0.55,Alexander Achinioti-Jönsson
Forge FC,Christopher Lenroy Nanco,f,11,Canada,1995-02-15,Christopher-Nanco.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Nanco,0.22,Chris Nanco
Forge FC,Daniel Krutzen,d,5,Belgium,1996-09-19,Daniel-Krutzen.1.jpg,Belgium.png,https://en.wikipedia.org/wiki/Daniel_Krutzen,0.65,Daniel Krutzen
Forge FC,David Choinière,m,7,Canada,1997-02-07,David-Choiniére.1.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Choinière,0.62,David Choinière
Forge FC,David Edward Edgar,d,30,Canada,1987-05-19,David-Edgar.1.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Edgar,0.39,David Edgar
Forge FC,Dominic Samuel,d,4,Canada,1994-09-29,Dominic-Samuel.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Dominic_Samuel,0.43,Dominic Samuel
Forge FC,Elimane Oumar Cissé,m,3,Senegal,1995-03-12,Elimane-Cissé.1.jpg,Senegal.png,https://en.wikipedia.org/wiki/Elimane_Cissé,0.56,Elimane Cissé
Forge FC,Jonathan Grant,d,2,Canada,1993-10-15,Jonathan-Grant.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Jonathan_Grant,0.04,Jonathan Grant
Forge FC,Kadell Thomas,f,17,Canada,1996-11-26,Kadell-Thomas.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Kadell_Thomas,0.25,Kadell Thomas
Forge FC,Klaidi Cela,d,16,Canada,1999-07-16,Klaidi-Cela.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Klaidi_Cela,0.0,Klaidi Cela
Forge FC,Kwame Awuah,d,6,Canada,1995-12-02,Kwame-Awuah.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Kwame_Awuah,0.58,Kwame Awuah
Forge FC,Kyle Edward Bekker,m,10,Canada,1990-09-02,Kyle-Bekker.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Bekker,0.7,Kyle Bekker
Forge FC,Marcel Dominik Zajac,f,9,Canada,1998-04-29,Marcel-Zajac.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Marcel_Zajac,0.15,Marcel Zajac
Forge FC,Montther Mohsen,d,22,Canada,2000-06-13,Monti-Mohsen.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Monti_Mohsen,0.17,Monti Mohsen
Forge FC,Triston Henry,g,1,Canada,1993-09-08,Triston-Henry.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Triston_Henry,0.75,Triston Henry
Forge FC,Anthony Joseph Novak,f,23,Canada,1994-03-27,Anthony-Novak.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Anthony_Novak,0.28,Anthony Novak
Forge FC,Maxim Tissot,d,15,Canada,1992-04-13,Tissot_Max.png,Canada.png,https://en.wikipedia.org/wiki/Maxim_Tissot,0.2,Maxim Tissot
Forge FC,Gabriel Wiethaeuper-Balbinotti,f,20,Canada,1998-04-12,Balbinotti_Gabriel.png,Canada.png,https://en.wikipedia.org/wiki/Gabriel_Wiethaeuper-Balbinotti,0.07,Gabriel Balbinotti
Forge FC,Jordan Dunstan,d,21,Canada,1993-03-21,Dunstan_Jordan.png,Canada.png,https://en.wikipedia.org/wiki/Jordan_Dunstan,0.24,Jordan Dunstan
Forge FC,Baj Maan,g,31,Canada,2000-06-12,Maan_Baj.png,Canada.png,https://en.wikipedia.org/wiki/Forge_FC,0.18,Baj Maan
Forge FC,Paolo Sabak,m,24,Belgium,1999-02-10,Sabak_Paolo.png,Belgium.png,https://en.wikipedia.org/wiki/Paolo_Sabak,0.71,Paolo Sabak
Forge FC,Molham Babouli,f,19,Canada,1993-01-02,Babouli_Mo.png,Canada.png,https://en.wikipedia.org/wiki/Mo_Babouli,0.3,Mo Babouli
HFX Wanderers FC,Aboubacar Sissoko,m,17,Mali,1995-10-09,Aboubacar-Sissoko.1.jpg,Mali.png,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,0.59,Aboubacar Sissoko
HFX Wanderers FC,Akeem Garcia,f,11,Trinidad and Tobago,1996-11-09,Akeem-Garcia.1.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Akeem_Garcia,0.59,Akeem Garcia
HFX Wanderers FC,Alessandro Riggi,f,10,Canada,1993-11-30,Alessandro-Riggi.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Riggi,0.48,Alessandro Riggi
HFX Wanderers FC,Alex De Carolis,d,24,Canada,1992-09-24,Alex-De-Carolis.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Alex_De_Carolis,0.34,Alex De Carolis
HFX Wanderers FC,Alex Marshall,m,7,Jamaica,1998-02-24,alex_marshall.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Alex_Marshall,0.57,Alex Marshall
HFX Wanderers FC,Andre Rampersad,m,18,Trinidad and Tobago,1995-02-02,Andre-Rampersad.1.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Andre_Rampersad,0.71,Andre Rampersad
HFX Wanderers FC,Chrisnovic N'Sa,d,6,Canada,1999-01-28,Chrisnovic-N_sa.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Chrisnovic_N'sa,0.68,Chris N'sa
HFX Wanderers FC,Christian Oxner,g,50,Canada,1996-07-29,Christian-Oxner.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Christian_Oxner,0.59,Christian Oxner
HFX Wanderers FC,Daniel Kinumbe,d,13,Canada,1999-03-15,Daniel-Kinumbe.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Daniel_Kinumbe,0.09,Daniel Kinumbe
HFX Wanderers FC,Ibrahima Sanoh,f,9,Guinea,1994-04-11,Ibrahima-Sanoh.1.jpg,Guinea.png,https://en.wikipedia.org/wiki/Ibrahima_Sanoh,0.1,Ibrahima Sanoh
HFX Wanderers FC,Jason Beaulieu,g,1,Canada,1994-02-12,Jason-Beaulieu.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Jason_Beaulieu,0.22,Jason Beaulieu
HFX Wanderers FC,Jems Geffrard,d,3,Haiti,1994-08-26,Jems-Geffrard.1.jpg,Haiti.png,https://en.wikipedia.org/wiki/Jems_Geffrard,0.44,Jems Geffrard
HFX Wanderers FC,João Morelli Neto,f,22,Brazil,1996-03-11,João-Morelli.1.jpg,Brazil.png,https://en.wikipedia.org/wiki/João_Morelli,0.47,João Morelli
HFX Wanderers FC,Louis Béland-Goyette,m,5,Canada,1995-09-15,Louis-Béland-Goyette.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Louis_Béland-Goyette,0.56,Louis Béland-Goyette
HFX Wanderers FC,Mateo Restrepo,d,14,Canada,1997-04-29,mateo_restrepo.jpg,Canada.png,https://en.wikipedia.org/wiki/Mateo_Restrepo,0.53,Mateo Restrepo
HFX Wanderers FC,Omar Kreim,m,8,Morocco,1995-02-10,Omar-Kreim.1.jpg,Morocco.png,https://en.wikipedia.org/wiki/Omar_Kreim,0.19,Omar Kreim
HFX Wanderers FC,Peter Schaale,d,2,Germany,1996-06-14,Peter-Schaale.1.jpg,Germany.png,https://en.wikipedia.org/wiki/Peter_Schaale,0.65,Peter Schaale
HFX Wanderers FC,Scott Firth,m,15,Canada,2001-03-02,Scott-Firth.jpg,Canada.png,https://en.wikipedia.org/wiki/Scott_Firth,0.2,Scott Firth
HFX Wanderers FC,Cory Bent,m,23,England,1997-05-14,Cory-Bent.1.jpg,England.png,https://en.wikipedia.org/wiki/Scott_Firth,0.5,Cory Bent
HFX Wanderers FC,Jake Ruby,d,20,Canada,2000-06-04,jake_ruby.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,0.22,Jake Ruby
HFX Wanderers FC,Luke Green,d,16,Canada,2002-12-12,luke_green.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,0.05,Luke Green
Pacific FC,Abdoulaye Samake,d,5,Mali,1996-10-07,Abdou-Samake.1.png,Mali.png,https://en.wikipedia.org/wiki/Abdou_Samake,0.08,Abdou Samake
Pacific FC,Alejandro Díaz Liceága,f,9,Mexico,1996-01-27,Alejandro-Diaz.1.png,Mexico.png,https://en.wikipedia.org/wiki/Alejandro_Díaz,0.49,Alejandro Diaz
Pacific FC,Alessandro Hojabrpour,m,21,Canada,2000-01-10,Alessandro-Hojabrpour.1.png,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Hojabrpour,0.35,Alessandro Hojabrpour
Pacific FC,Callum Irving,g,13,Canada,1993-03-16,Callum-Irving.1.png,Canada.png,https://en.wikipedia.org/wiki/Callum_Irving,0.74,Callum Irving
Pacific FC,Jamar Dixon,m,22,Canada,1989-06-05,Jamar-Dixon.1.png,Canada.png,https://en.wikipedia.org/wiki/Jamar_Dixon,0.52,Jamar Dixon
Pacific FC,Kadin Chung,d,7,Canada,1998-09-05,Kadin-Chung.1.png,Canada.png,https://en.wikipedia.org/wiki/Kadin_Chung,0.61,Kadin Chung
Pacific FC,Lukas MacNaughton,d,6,United States,1995-03-08,Lukas-MacNaughton.1.png,Canada.png,https://en.wikipedia.org/wiki/Lukas_MacNaughton,0.47,Lukas MacNaughton
Pacific FC,Marcel de Jong,d,17,Canada,1986-10-15,Marcel-De-Jong.1.png,Canada.png,https://en.wikipedia.org/wiki/Marcel_de_Jong,0.21,Marcel de Jong
Pacific FC,Marco Bustos,m,10,Canada,1996-04-22,Marco-Bustos.1.png,Canada.png,https://en.wikipedia.org/wiki/Marco_Bustos,0.79,Marco Bustos
Pacific FC,Matthew Baldisimo,m,8,Canada,1998-01-20,Matthew-Baldisimo.1.png,Canada.png,https://en.wikipedia.org/wiki/Matthew_Baldisimo,0.67,Matthew Baldisimo
Pacific FC,Noah Verhoeven,m,19,Canada,1999-06-15,Noah-Verhoeven.1.png,Canada.png,https://en.wikipedia.org/wiki/Noah_Verhoeven,0.29,Noah Verhoeven
Pacific FC,Nolan Wirth,g,1,Canada,1995-01-24,Nolan-Wirth.1.png,Canada.png,https://en.wikipedia.org/wiki/Nolan_Wirth,0.18,Nolan Wirth
Pacific FC,Terran Campbell,f,14,Canada,1998-10-10,Terran-Campbell.1.png,Canada.png,https://en.wikipedia.org/wiki/Terran_Campbell,0.3,Terran Campbell
Pacific FC,Thomas Meilleur-Giguère,d,26,Canada,1997-11-13,Thomas-Meilleur-Giguère.1.png,Canada.png,https://en.wikipedia.org/wiki/Thomas_Meilleur-Giguère,0.45,Thomas Meilleur-Giguère
Pacific FC,Victor Blasco,m,23,Spain,1994-07-01,Victor-Blasco.1.png,Spain.png,https://en.wikipedia.org/wiki/Victor_Blasco,0.81,Victor Blasco
Pacific FC,Zachary Verhoven,m,16,Canada,1998-08-17,Zach-Verhoven.1.png,Canada.png,https://en.wikipedia.org/wiki/Zachary_Verhoven,0.67,Zach Verhoven
Pacific FC,Jordan Haynes,d,3,Canada,1996-01-17,Jordan-Haynes.png,Canada.png,https://en.wikipedia.org/wiki/Jordan_Haynes,0.43,Jordan Haynes
Pacific FC,Sean Young,m,20,Canada,2001-04-20,Sean-Young.jpg,Canada.png,https://en.wikipedia.org/wiki/Pacific_FC,0.36,Sean Young
Pacific FC,Josh Heard,m,11,Wales,1994-11-29,Josh-Heard.jpg,Wales.png,https://en.wikipedia.org/wiki/Josh_Heard,0.3,Josh Heard
Valour FC,Andrew Jean-Baptiste,d,35,Haiti,1992-06-16,Andrew-Jean-Baptiste.1.png,Haiti.png,https://en.wikipedia.org/wiki/Andrew_Jean-Baptiste,0.41,Andrew Jean-Baptiste
Valour FC,Arnold Bouka Moutou,d,29,Congo,1988-11-28,empty.jpg,Congo.png,https://en.wikipedia.org/wiki/Arnold_Bouka_Moutou,0.06,Arnold Bouka Moutou
Valour FC,Brett Levis,m,17,Canada,1993-03-29,Brett-Levis.1.png,Canada.png,https://en.wikipedia.org/wiki/Brett_Levis,0.68,Brett Levis
Valour FC,Daryl Fordyce,f,16,Northern Ireland,1987-01-02,Daryl-Fordyce.png,Ireland.png,https://en.wikipedia.org/wiki/Daryl_Fordyce,0.15,Daryl Fordyce
Valour FC,Diego Gutiérrez,m,8,Canada,1997-02-18,Diego-Gutiérrez.1.png,Canada.png,https://en.wikipedia.org/wiki/Diego_Gutiérrez,0.52,Diego Gutiérrez
Valour FC,Dylan Carreiro,m,10,Canada,1995-01-20,Dylan-Carreiro.1.png,Canada.png,https://en.wikipedia.org/wiki/Dylan_Carreiro,0.47,Dylan Carreiro
Valour FC,Federico Peña,f,77,Trinidad and Tobago,1999-03-30,Federico-Pena.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Federico_Peña,0.3,Federico Peña
Valour FC,Fraser Aird,m,33,Canada,1995-02-02,Fraser-Aird.1.png,Canada.png,https://en.wikipedia.org/wiki/Fraser_Aird,0.51,Fraser Aird
Valour FC,James Pantemis,g,1,Canada,1997-02-21,James-Pantemis.1.png,Canada.png,https://en.wikipedia.org/wiki/James_Pantemis,0.78,James Pantemis
Valour FC,José Antonio Galán Pedrosa,m,21,Spain,1986-02-02,José-Galán.1.png,Spain.png,https://en.wikipedia.org/wiki/José_Antonio_Galán_Pedrosa,0.51,José Galán
Valour FC,Mastanabal Kacher,f,7,Algeria,1995-11-08,empty.jpg,Algeria.png,https://en.wikipedia.org/wiki/Masta_Kacher,0.34,Masta Kacher
Valour FC,Moses Dyer,m,6,New Zealand,1997-03-21,Moses-Dyer.1.png,NewZealand.png,https://en.wikipedia.org/wiki/Moses_Dyer,0.2,Moses Dyer
Valour FC,Matt Silva,g,0,Canada,1997-04-09,Mathew-Silva.jpg,Canada.png,https://en.wikipedia.org/wiki/Matt_Silva_(soccer),0.05,Matt Silva
Valour FC,Raphael Ohin,m,27,Ghana,1995-05-25,Raphael-Ohin.jpg,Ghana.png,https://en.wikipedia.org/wiki/Raphael_Ohin,0.5,Raphael Ohin
Valour FC,Raphaël Garcia,d,2,Canada,1999-05-06,Raphael-Garcia.1.png,Canada.png,https://en.wikipedia.org/wiki/Raphaël_Garcia,0.03,Raphaël Garcia
Valour FC,Solomon Kojo Antwi,m,25,Ghana,2000-09-25,Soloman-Antwi.1.png,Ghana.png,https://en.wikipedia.org/wiki/Valour_FC,0.23,Solomon Kojo Antwi
Valour FC,Stefan Cebara,m,14,Canada,1991-04-12,Stefan-Cebara.1.png,Canada.png,https://en.wikipedia.org/wiki/Stefan_Cebara,0.46,Stefan Cebara
Valour FC,Yohan Le Bourhis,d,4,Canada,2000-03-09,Yohan-Le-Bourhis.1.png,Canada.png,https://en.wikipedia.org/wiki/Yohan_Le_Bourhis,0.08,Yohan Le Bourhis
Valour FC,Austin Ricci,f,9,Canada,1996-04-08,Austin-Ricci-.jpg,Canada.png,https://en.wikipedia.org/wiki/Shaan_Hundal,0.34,Austin Ricci
Valour FC,Shaan Hundal,f,11,Canada,1999-07-14,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Austin_Ricci,0.34,Shaan Hundal
Valour FC,Chakib Hocine,d,4,Algeria,1991-08-08,Chakib-Hocine.png,Algeria.png,https://en.wikipedia.org/wiki/Chakib_Hocine,0.05,Chakib Hocine
Valour FC,Julian Dunn-Johnson,d,5,Canada,2000-06-01,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Julian_Dunn-Johnson,0.57,Julian Dunn
