team,name,position,tp,number,nationality,dob,image,flag,link,overall,display,p,al,gl,ol
Atlético Ottawa,Vashon Neufville,d,3,44,England,1999-07-18,Vashon-Neufville.jpg,England.png,https://en.wikipedia.org/wiki/Vashon_Neufville,0.18,Vashon Neufville,0,0,0,0
Atlético Ottawa,Víctor Martínez Manrique,m,8,5,Spain,1997-05-25,Victor-Martinez.jpg,Spain.png,https://en.wikipedia.org/wiki/Viti_Martínez,0.49,Viti Martínez,0,0,0,0
Atlético Ottawa,Zachary Verhoven,m,7,16,Canada,1998-08-17,Zach-Verhoven.png,Canada.png,https://en.wikipedia.org/wiki/Zachary_Verhoven,0.67,Zach Verhoven,0,0,0,0
Cavalry FC,Ahinga Selemani,f,9,-,United States,1996-03-15,empty.jpg,USA.png,https://en.wikipedia.org/wiki/Cavalry FC,0.0,Ahinga Selemani,0,0,0,0
Cavalry FC,Anthony Joseph Novak,f,9,23,Canada,1994-03-27,Anthony-Novak.jpg,Canada.png,https://en.wikipedia.org/wiki/Anthony_Novak,0.28,Anthony Novak,0,0,0,0
Cavalry FC,Daan Klomp,d,4,-,Netherlands,1998-08-10,empty.jpg,Netherlands.png,https://en.wikipedia.org/wiki/Cavalry FC,0.0,Daan Klomp,0,0,0,0
Cavalry FC,David Norman Jr.,m,8,24,Canada,1998-05-31,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Norman_Jr.,0.18,David Norman Jr.,0,0,0,0
Cavalry FC,Elijah Adekugbe,m,8,8,England,1996-07-17,Elijah-Adekugbe.jpg,England.png,https://en.wikipedia.org/wiki/Elijah_Adekugbe,0.73,Elijah Adekugbe,0,0,0,0
Cavalry FC,Elliot Simmons,m,8,15,Canada,1998-02-05,Elliot-Simmons.jpg,Canada.png,https://en.wikipedia.org/wiki/Elliot_Simmons,0.45,Elliot Simmons,0,0,0,0
Cavalry FC,Joe Mason,f,9,-,Ireland,1991-05-13,empty.jpg,Ireland.png,https://en.wikipedia.org/wiki/Cavalry FC,0.0,Joe Mason,0,0,0,0
Cavalry FC,José Escalante,m,11,11,Honduras,1995-05-29,Jose-Escalante.jpg,Honduras.png,https://en.wikipedia.org/wiki/José_Escalante,0.62,José Escalante,0,0,0,0
Cavalry FC,José Hernández,f,9,20,Canada,2000-03-19,Jose-Hernandez.jpg,Canada.png,https://en.wikipedia.org/wiki/Jose_Hernandez,0.02,Jose Hernandez,0,0,0,0
Cavalry FC,Joseph Di Chiara,m,6,8,Canada,1992-01-30,Joseph-Di-Chiara.jpg,Canada.png,https://en.wikipedia.org/wiki/Joseph_Di_Chiara,0.72,Joseph Di Chiara,0,0,0,0
Cavalry FC,Karifa Yao,d,4,-,Canada,2000-09-28,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Cavalry FC,0.0,Karifa Yao,0,0,0,0
Cavalry FC,Marco Carducci,g,1,1,Canada,1995-09-25,Marco-Carducci.jpg,Canada.png,https://en.wikipedia.org/wiki/Marco_Carducci,0.55,Marco Carducci,0,0,0,0
Cavalry FC,Mason Trafford,d,5,5,Canada,1986-08-21,Mason-Trafford.jpg,Canada.png,https://en.wikipedia.org/wiki/Mason_Trafford,0.43,Mason Trafford,0,0,0,0
Cavalry FC,Mohamed Farsi,d,3,21,Canada,1999-12-16,Mohamed-Farsi.jpg,Canada.png,https://en.wikipedia.org/wiki/Mohamed_Farsi,0.44,Mohamed Farsi,0,0,0,0
Cavalry FC,Nico Pasquotti,f,7,17,Canada,1995-10-18,Nico-Pasquotti.jpg,Canada.png,https://en.wikipedia.org/wiki/Nico_Pasquotti,0.52,Nico Pasquotti,0,0,0,0
Cavalry FC,Nikolas Ledgerwood,m,6,6,Canada,1985-01-16,Nik-Ledgerwood.jpg,Canada.png,https://en.wikipedia.org/wiki/Nikolas_Ledgerwood,0.66,Nik Ledgerwood,0,0,0,0
Cavalry FC,Oliver Minatel,f,9,7,Brazil,1992-08-29,Oliver-Minatel.jpg,Brazil.png,https://en.wikipedia.org/wiki/Oliver_Minatel,0.45,Oliver Minatel,0,0,0,0
Cavalry FC,Richard Luca,f,11,-,Brazil,1998-01-06,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Cavalry FC,0.0,Richard Luca,0,0,0,0
Cavalry FC,Sergio Camargo,m,10,10,Canada,1994-08-16,Sergio-Camargo.jpg,Canada.png,https://en.wikipedia.org/wiki/Sergio_Camargo,0.27,Sergio Camargo,0,0,0,0
Cavalry FC,Tom Field,d,3,-,England,1997-03-14,empty.jpg,England.png,https://en.wikipedia.org/wiki/Cavalry FC,0.0,Tom Field,0,0,0,0
Cavalry FC,Tyson Farago,g,1,1,Canada,1991-05-01,Tyson-Farago.jpg,Canada.png,https://en.wikipedia.org/wiki/Tyson_Farago,0.55,Tyson Farago,0,0,0,0
FC Edmonton,Allan Zebie,d,3,4,Canada,1993-05-29,Allan-Zebie.png,Canada.png,https://en.wikipedia.org/wiki/Allan_Zebie,0.36,Allan Zebie,0,0,0,0
FC Edmonton,Amer Didic,d,4,55,Canada,1994-12-28,Amer-Didic.png,Canada.png,https://en.wikipedia.org/wiki/Amer_Didic,0.18,Amer Didic,0,0,0,0
FC Edmonton,Antony Caceres,m,8,20,Canada,2000-01-31,Antony-Caceres.png,Canada.png,https://en.wikipedia.org/wiki/Anthony_Caceres,0.39,Anthony Caceres,0,0,0,0
FC Edmonton,Chance Carter,m,8,14,Canada,2001-09-15,Chance-Carter.png,Canada.png,https://en.wikipedia.org/wiki/Chance_Carter,0.33,Chance Carter,0,0,0,0
FC Edmonton,Connor James,g,1,1,Canada,1996-07-17,Connor-James.png,Canada.png,https://en.wikipedia.org/wiki/Connor_James,0.52,Connor James,0,0,0,0
FC Edmonton,Darlington Murasiranwa,g,1,-,Canada,2001-02-07,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/FC Edmonton,0.0,Darlington Murasiranwa,0,0,0,0
FC Edmonton,Easton Ongaro,f,9,19,Canada,1998-06-05,Easton-Ongaro.png,Canada.png,https://en.wikipedia.org/wiki/Easton_Ongaro,0.43,Easton Ongaro,0,0,0,0
FC Edmonton,Fraser Aird,m,8,33,Canada,1995-02-02,Fraser-Aird.png,Canada.png,https://en.wikipedia.org/wiki/Fraser_Aird,0.51,Fraser Aird,0,0,0,0
FC Edmonton,Hunter Gorskie,d,4,-,United States,1991-06-27,empty.jpg,USA.png,https://en.wikipedia.org/wiki/Hunter_Gorskie,0.0,Hunter Gorskie,0,0,0,0
FC Edmonton,Jeannot Esua,d,2,3,Cameroon,1996-08-08,Jeannot-Esua.png,Cameroon.png,https://en.wikipedia.org/wiki/Jeannot_Esua,0.55,Jeannot Esua,0,0,0,0
FC Edmonton,Kyle Porter,m,7,19,Canada,1990-01-19,Kyle-Porter.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Porter,0.57,Kyle Porter,0,0,0,0
FC Edmonton,Marcus Velado-Tsegaye,f,11,17,Canada,2001-07-02,Marcus-Velado-Tsegaye.png,Canada.png,https://en.wikipedia.org/wiki/Marcus_Velado-Tsegaye,0.25,Marcus Velado-Tsegaye,0,0,0,0
FC Edmonton,Mélé Temguia,d,4,8,Germany,1995-08-01,Mele-Temguia.png,Germany.png,https://en.wikipedia.org/wiki/Mélé_Temguia,0.53,Mélé Temguia,0,0,0,0
FC Edmonton,Paris Gee,d,6,-,Canada,1994-07-05,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Paris_Gee,0.0,Paris Gee,0,0,0,0
FC Edmonton,Prince Amanda,f,7,16,Canada,2001-03-23,Prince-Amanda.png,Canada.png,https://en.wikipedia.org/wiki/Prince_Amanda,0.15,Prince Amanda,0,0,0,0
FC Edmonton,Ramon Soria,d,5,5,Spain,1989-03-07,Ramon-Soria.png,Spain.png,https://en.wikipedia.org/wiki/Ramón_Soria,0.46,Ramon Soria,0,0,0,0
FC Edmonton,Raúl Tito,m,11,-,Peru,1997-09-05,empty.jpg,Peru.png,https://en.wikipedia.org/wiki/FC Edmonton,0.0,Raúl Tito,0,0,0,0
FC Edmonton,Roberto Avila,f,9,-,United States,2000-10-16,empty.jpg,USA.png,https://en.wikipedia.org/wiki/FC Edmonton,0.0,Beto Avila,0,0,0,0
FC Edmonton,Shamit Shome,m,10,-,Canada,1997-09-05,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/FC Edmonton,0.0,Shamit Shome,0,0,0,0
FC Edmonton,Sharly Mabussi,d,3,-,Congo,1997-05-27,empty.jpg,Congo.png,https://en.wikipedia.org/wiki/FC Edmonton,0.0,Sharly Mabussi,0,0,0,0
FC Edmonton,Tobias Warschewski,f,9,-,Germany,1998-02-06,empty.jpg,Germany.png,https://en.wikipedia.org/wiki/FC Edmonton,0.0,Tobias Warschewski,0,0,0,0
FC Edmonton,Tomas Giraldo,m,10,-,Canada,2003-03-08,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/FC Edmonton,0.0,Tomas Giraldo,0,0,0,0
Forge FC,Alexander Börje Achinioti-Jönsson,m,6,13,Sweden,1996-04-17,Alexander-Achinioti-Jonsson.jpg,Sweden.png,https://en.wikipedia.org/wiki/Alexander_Achinioti-Jönsson,0.55,Alexander Achinioti-Jönsson,0,0,0,0
Forge FC,Baj Maan,g,1,31,Canada,2000-06-12,Baj-Maan.png,Canada.png,https://en.wikipedia.org/wiki/Forge_FC,0.18,Baj Maan,0,0,0,0
Forge FC,Christopher Lenroy Nanco,f,11,11,Canada,1995-02-15,Chris-Nanco.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Nanco,0.22,Chris Nanco,0,0,0,0
Forge FC,Daniel Krutzen,d,5,5,Belgium,1996-09-19,Daniel-Krutzen.jpg,Belgium.png,https://en.wikipedia.org/wiki/Daniel_Krutzen,0.65,Daniel Krutzen,2,0,0,0
Forge FC,David Choinière,m,11,7,Canada,1997-02-07,David-Choiniere.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Choinière,0.62,David Choinière,0,0,0,0
Forge FC,Dejan Jaković,d,5,-,Canada,1985-09-08,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Forge FC,0.0,Dejan Jakovic,0,0,0,0
Forge FC,Dominic Samuel,d,2,4,Canada,1994-09-29,Dominic-Samuel.jpg,Canada.png,https://en.wikipedia.org/wiki/Dominic_Samuel,0.43,Dominic Samuel,0,0,0,0
Forge FC,Elimane Oumar Cissé,m,6,3,Senegal,1995-03-12,Elimane-Cisse.jpg,Senegal.png,https://en.wikipedia.org/wiki/Elimane_Cissé,0.56,Elimane Cissé,0,0,0,0
Forge FC,Jonathan Grant,d,2,2,Canada,1993-10-15,Jonathan-Grant.jpg,Canada.png,https://en.wikipedia.org/wiki/Jonathan_Grant,0.04,Jonathan Grant,0,0,0,0
Forge FC,Joshua Navarro,m,9,-,Costa Rica,1999-03-11,empty.jpg,CostaRica.png,https://en.wikipedia.org/wiki/Forge FC,0.0,Josh Navarro,0,0,0,0
Forge FC,Kwame Awuah,d,3,6,Canada,1995-12-02,Kwame-Awuah.jpg,Canada.png,https://en.wikipedia.org/wiki/Kwame_Awuah,0.58,Kwame Awuah,0,0,0,0
Forge FC,Kyle Edward Bekker,m,10,10,Canada,1990-09-02,Kyle-Bekker.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Bekker,0.7,Kyle Bekker,0,0,0,0
Forge FC,Maxim Tissot,d,3,15,Canada,1992-04-13,Tissot-Max.png,Canada.png,https://en.wikipedia.org/wiki/Maxim_Tissot,0.2,Maxim Tissot,0,0,0,0
Forge FC,Molham Babouli,f,9,19,Canada,1993-01-02,Mo-Babouli.png,Canada.png,https://en.wikipedia.org/wiki/Mo_Babouli,0.3,Mo Babouli,0,0,0,0
Forge FC,Montther Mohsen,d,3,22,Canada,2000-06-13,Monti-Mohsen.jpg,Canada.png,https://en.wikipedia.org/wiki/Monti_Mohsen,0.17,Monti Mohsen,0,0,0,0
Forge FC,Omar Browne,f,9,-,Panama,1994-05-03,empty.jpg,Panama.png,https://en.wikipedia.org/wiki/Omar_Browne,0.0,Omar Browne,0,0,0,0
Forge FC,Paolo Sabak,m,8,24,Belgium,1999-02-10,Paolo-Sabak.png,Belgium.png,https://en.wikipedia.org/wiki/Paolo_Sabak,0.71,Paolo Sabak,0,0,0,0
Forge FC,Tristan Daniel Borges,m,7,4,Canada,1998-08-26,Tristan-Borges.jpg,Canada.png,https://en.wikipedia.org/wiki/Tristan_Borges,0.9,Tristan Borges,0,0,0,0
Forge FC,Triston Henry,g,1,1,Canada,1993-09-08,Triston-Henry.jpg,Canada.png,https://en.wikipedia.org/wiki/Triston_Henry,0.75,Triston Henry,1,0,0,0
HFX Wanderers FC,Akeem Garcia,f,9,11,Trinidad and Tobago,1996-11-09,Akeem-Garcia.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Akeem_Garcia,0.59,Akeem Garcia,4,0,1,0
HFX Wanderers FC,Alessandro Riggi,f,11,10,Canada,1993-11-30,Alessandro-Riggi.jpg,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Riggi,0.48,Alessandro Riggi,0,0,0,0
HFX Wanderers FC,Alex Marshall,m,11,7,Jamaica,1998-02-24,Alex-Marshall.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Alex_Marshall,0.57,Alex Marshall,0,0,0,0
HFX Wanderers FC,Andre Rampersad,m,6,18,Trinidad and Tobago,1995-02-02,Andre-Rampersad.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Andre_Rampersad,0.71,Andre Rampersad,0,0,0,0
HFX Wanderers FC,Christian Oxner,g,1,50,Canada,1996-07-29,Christian-Oxner.jpg,Canada.png,https://en.wikipedia.org/wiki/Christian_Oxner,0.59,Christian Oxner,0,0,0,0
HFX Wanderers FC,Cory Bent,m,11,23,England,1997-05-14,Cory-Bent.jpg,England.png,https://en.wikipedia.org/wiki/Scott_Firth,0.5,Cory Bent,0,0,0,0
HFX Wanderers FC,Eriks Santos,d,4,-,Brazil,1996-02-23,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Eriks Santos,0,0,0,0
HFX Wanderers FC,Jake Ruby,d,2,20,Canada,2000-06-04,Jake-Ruby.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX_Wanderers_FC,0.22,Jake Ruby,0,0,0,0
HFX Wanderers FC,Jems Geffrard,d,5,3,Haiti,1994-08-26,Jems-Geffrard.jpg,Haiti.png,https://en.wikipedia.org/wiki/Jems_Geffrard,0.44,Jems Geffrard,0,0,0,0
HFX Wanderers FC,Jeremy Gagnon-Lapare,d,6,-,Canada,1995-03-09,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Jeremy Gagnon-Lapare,0,0,0,0
HFX Wanderers FC,João Morelli Neto,f,10,22,Brazil,1996-03-11,Joao-Morelli.jpg,Brazil.png,https://en.wikipedia.org/wiki/João_Morelli,0.47,João Morelli,0,0,0,0
HFX Wanderers FC,Kareem Sow,d,4,-,Canada,2000-09-28,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Kareem Sow,0,0,0,0
HFX Wanderers FC,Kieran Baskett,g,1,-,Canada,2001-09-27,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Kieran Baskett,0,0,0,0
HFX Wanderers FC,Marcello Polisi,m,8,-,Canada,1997-01-24,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Marcello Polisi,0,0,0,0
HFX Wanderers FC,Mateo Restrepo,d,2,14,Canada,1997-04-29,Mateo-Restrepo.jpg,Canada.png,https://en.wikipedia.org/wiki/Mateo_Restrepo,0.53,Mateo Restrepo,0,0,0,0
HFX Wanderers FC,Morey Doner,d,2,3,Canada,1994-03-25,Morey-Doner.jpg,Canada.png,https://en.wikipedia.org/wiki/Morey_Doner,0.39,Morey Doner,0,0,0,0
HFX Wanderers FC,Omar Kreim,m,8,8,Morocco,1995-02-10,Omar-Kreim.jpg,Morocco.png,https://en.wikipedia.org/wiki/Omar_Kreim,0.19,Omar Kreim,0,0,0,0
HFX Wanderers FC,Peter Schaale,d,4,2,Germany,1996-06-14,Peter-Schaale.jpg,Germany.png,https://en.wikipedia.org/wiki/Peter_Schaale,0.65,Peter Schaale,0,0,0,0
HFX Wanderers FC,Pierre Lamothe,m,10,-,Canada,1995-02-10,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Pierre Lamothe,0,0,0,0
HFX Wanderers FC,Samuel Salter,f,9,-,Canada,-,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Samuel Salter,0,0,0,0
HFX Wanderers FC,Scott Firth,m,8,15,Canada,2001-03-02,Scott-Firth.jpg,Canada.png,https://en.wikipedia.org/wiki/Scott_Firth,0.2,Scott Firth,0,0,0,0
HFX Wanderers FC,Stefan Karajovanovic,f,9,-,Canada,1999-04-16,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/HFX Wanderers FC,0.0,Stefan Karajovanovic,0,0,0,0
Pacific FC,Abdoulaye Samake,d,4,5,Mali,1996-10-07,Abdou-Samake.png,Mali.png,https://en.wikipedia.org/wiki/Abdou_Samake,0.08,Abdou Samake,0,0,0,0
Pacific FC,Alejandro Díaz Liceága,f,7,9,Mexico,1996-01-27,Alejandro-Diaz.png,Mexico.png,https://en.wikipedia.org/wiki/Alejandro_Díaz,0.49,Alejandro Diaz,0,0,0,0
Pacific FC,Alessandro Hojabrpour,m,11,21,Canada,2000-01-10,Alessandro-Hojabrpour.png,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Hojabrpour,0.35,Alessandro Hojabrpour,0,0,0,0
Pacific FC,Callum Irving,g,1,13,Canada,1993-03-16,Callum-Irving.png,Canada.png,https://en.wikipedia.org/wiki/Callum_Irving,0.74,Callum Irving,0,0,0,0
Pacific FC,Christopher Lee,d,3,-,Canada,-,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Pacific FC,0.0,Chris Lee,0,0,0,0
Pacific FC,Duran Lee,d,4,23,Canada,1995-05-09,Duran-Lee.png,Canada.png,https://en.wikipedia.org/wiki/Duran_Lee,0.18,Duran Lee,0,0,0,0
Pacific FC,Gianni dos Santos,f,9,-,Netherlands,1998-11-21,empty.jpg,Netherlands.png,https://en.wikipedia.org/wiki/Pacific FC,0.0,Gianni dos Santos,0,0,0,0
Pacific FC,Jamar Dixon,m,6,22,Canada,1989-06-05,Jamar-Dixon.png,Canada.png,https://en.wikipedia.org/wiki/Jamar_Dixon,0.52,Jamar Dixon,0,0,0,0
Pacific FC,Jordan Haynes,d,3,3,Canada,1996-01-17,Jordan-Haynes.png,Canada.png,https://en.wikipedia.org/wiki/Jordan_Haynes,0.43,Jordan Haynes,0,0,0,0
Pacific FC,Josh Heard,m,7,11,Wales,1994-11-29,Josh-Heard.jpg,Wales.png,https://en.wikipedia.org/wiki/Josh_Heard,0.3,Josh Heard,0,0,0,0
Pacific FC,Kadin Chung,d,2,7,Canada,1998-09-05,Kadin-Chung.png,Canada.png,https://en.wikipedia.org/wiki/Kadin_Chung,0.61,Kadin Chung,0,0,0,0
Pacific FC,Kunle Dada-Luke,f,2,-,Canada,1994-11-29,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Pacific FC,0.0,Kunle Dada-Luke,0,0,0,0
Pacific FC,Lukas MacNaughton,d,4,6,United States,1995-03-08,Lukas-MacNaughton.png,Canada.png,https://en.wikipedia.org/wiki/Lukas_MacNaughton,0.47,Lukas MacNaughton,0,0,0,0
Pacific FC,Manuel Aparicio,m,8,10,Canada,1995-09-17,Manuel-Aparicio.jpg,Canada.png,https://en.wikipedia.org/wiki/Manuel_Aparicio,0.67,Manny Aparicio,0,0,0,0
Pacific FC,Marco Bustos,m,10,10,Canada,1996-04-22,Marco-Bustos.png,Canada.png,https://en.wikipedia.org/wiki/Marco_Bustos,0.79,Marco Bustos,3,1,0,0
Pacific FC,Matteo Polisi,m,11,-,Canada,1998-04-15,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Pacific FC,0.0,Matteo Polisi,0,0,0,0
Pacific FC,Matthew Baldisimo,m,6,8,Canada,1998-01-20,Matthew-Baldisimo.png,Canada.png,https://en.wikipedia.org/wiki/Matthew_Baldisimo,0.67,Matthew Baldisimo,0,0,0,0
Pacific FC,Nolan Wirth,g,1,1,Canada,1995-01-24,Nolan-Wirth.png,Canada.png,https://en.wikipedia.org/wiki/Nolan_Wirth,0.18,Nolan Wirth,0,0,0,0
Pacific FC,Ollie Bassett,m,7,-,Northern Ireland,1998-03-06,empty.jpg,NorthernIreland.png,https://en.wikipedia.org/wiki/Pacific FC,0.0,Ollie Bassett,0,0,0,0
Pacific FC,Sean Young,m,8,20,Canada,2001-04-20,Sean-Young.jpg,Canada.png,https://en.wikipedia.org/wiki/Pacific_FC,0.36,Sean Young,0,0,0,0
Pacific FC,Terran Campbell,f,9,14,Canada,1998-10-10,Terran-Campbell.png,Canada.png,https://en.wikipedia.org/wiki/Terran_Campbell,0.3,Terran Campbell,0,0,0,0
Pacific FC,Thomas Meilleur-Giguère,d,4,26,Canada,1997-11-13,Thomas-Meilleur-Giguere.png,Canada.png,https://en.wikipedia.org/wiki/Thomas_Meilleur-Giguère,0.45,Thomas Meilleur-Giguère,0,0,0,0
Pacific FC,Victor Blasco,m,7,23,Spain,1994-07-01,Victor-Blasco.png,Spain.png,https://en.wikipedia.org/wiki/Victor_Blasco,0.81,Victor Blasco,0,0,0,0
Pacific FC,Victory Shumbusho,f,11,-,Congo,1998-02-07,empty.jpg,Congo.png,https://en.wikipedia.org/wiki/Pacific FC,0.0,Victory Shumbusho,0,0,0,0
Valour FC,Amir Soto,d,4,-,Panama,1997-11-04,empty.jpg,Panama.png,https://en.wikipedia.org/wiki/Valour FC,0.0,Amir Soto,0,0,0,0
Valour FC,Andrew Jean-Baptiste,d,5,35,Haiti,1992-06-16,Andrew-Jean-Baptiste.png,Haiti.png,https://en.wikipedia.org/wiki/Andrew_Jean-Baptiste,0.41,Andrew Jean-Baptiste,0,0,0,0
Valour FC,Arnold Bouka Moutou,d,3,29,Congo,1988-11-28,empty.jpg,Congo.png,https://en.wikipedia.org/wiki/Arnold_Bouka_Moutou,0.06,Arnold Bouka Moutou,0,0,0,0
Valour FC,Austin Ricci,f,9,9,Canada,1996-04-08,Austin-Ricci-.jpg,Canada.png,https://en.wikipedia.org/wiki/Shaan_Hundal,0.34,Austin Ricci,0,0,0,0
Valour FC,Brett Levis,m,8,17,Canada,1993-03-29,Brett-Levis.png,Canada.png,https://en.wikipedia.org/wiki/Brett_Levis,0.68,Brett Levis,0,0,0,0
Valour FC,Daryl Fordyce,f,9,16,Northern Ireland,1987-01-02,Daryl-Fordyce.png,NorthernIreland.png,https://en.wikipedia.org/wiki/Daryl_Fordyce,0.15,Daryl Fordyce,0,0,0,0
Valour FC,Federico Peña,f,8,77,Trinidad and Tobago,1999-03-30,Federico-Pena.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Federico_Peña,0.3,Federico Peña,0,0,0,0
Valour FC,Jared Ulloa,f,7,-,Peru,2002-06-08,empty.jpg,Peru.png,https://en.wikipedia.org/wiki/Valour FC,0.0,Jared Ulloa,0,0,0,0
Valour FC,Jonathan Sirois,g,1,-,Canada,2001-06-27,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Valour FC,0.0,Jonathan Sirois,0,0,0,0
Valour FC,José Antonio Galán Pedrosa,m,8,21,Spain,1986-02-02,Jose-Galan.png,Spain.png,https://en.wikipedia.org/wiki/José_Antonio_Galán_Pedrosa,0.51,José Galán,0,0,0,0
Valour FC,Keven Steven Alemán Bustos,m,10,11,Canada,1994-03-25,Keven-Bustos.jpg,Canada.png,https://en.wikipedia.org/wiki/Keven_Alemán,0.63,Keven Alemán,0,0,0,0
Valour FC,Mastanabal Kacher,f,9,7,Algeria,1995-11-08,empty.jpg,Algeria.png,https://en.wikipedia.org/wiki/Masta_Kacher,0.34,Masta Kacher,0,0,0,0
Valour FC,Matt Silva,g,1,0,Canada,1997-04-09,Mathew-Silva.jpg,Canada.png,https://en.wikipedia.org/wiki/Matt_Silva_(soccer),0.05,Matt Silva,0,0,0,0
