team,name,position,number,nationality,dob,image
Valour FC,Tyson Farago,g,1,Canada,1991-05-01,Tyson-Farago.jpg
Valour FC,Raphaël Garcia,d,2,Canada,1999-05-06,Raphaël-Garcia.jpg
Valour FC,Skylar Thomas,d,3,Canada,1993-07-27,Skylar-Thomas.jpg
Valour FC,Jordan Murrell,d,4,Canada,1993-05-02,Jordan-Murrell.jpg
Valour FC,Martín Arguiñarena,d,6,Uruguay,1991-09-06,Martín-Arguiñarena.jpg
Valour FC,Dylan Sacramento,m,7,Canada,1995-03-04,Dylan-Sacramento.jpg
Valour FC,Dylan Carreiro,m,10,Canada,1995-01-20,Dylan-Carreiro.jpg
Valour FC,Glenn Muenkat,m,11,Canada,1999-01-03,Glenn-Muenkat.jpg
Valour FC,Nicolás Galvis,m,14,Canada,1997-04-09,Nicolás-Galvis.jpg
Valour FC,Néstor Navia,m,15,Colombia,#N/A,Néstor-Navia.jpg
Valour FC,Tyler Attardo,f,16,Canada,2001-09-10,Tyler-Attardo.jpg
Valour FC,Stephen Hoyle,f,17,England,1992-11-06,Stephen-Hoyle.jpg
Valour FC,Josip Golubar,m,20,Croatia,1985-03-04,Josip-Golubar.jpg
Valour FC,Mathias Janssens,g,26,Belgium,1998-03-09,Mathias-Janssens.jpg
Valour FC,Raphael Ohin,m,27,Ghana,1995-05-25,Raphael-Ohin.jpg
Valour FC,Diego Gutiérrez,m,8,Canada,1997-02-18,Diego-Gutiérrez.jpg
Valour FC,Ali Musse,m,23,Canada,1996-01-01,Ali-Musse.jpg
Valour FC,Michael Petrasso,m,9,Canada,1995-07-09,Michael-Petrasso.jpg
Valour FC,Louis Béland-Goyette,m,5,Canada,1995-09-15,Louis-Béland-Goyette.jpg
Valour FC,Calum Ferguson,f,12,Canada,1995-02-12,Calum-Ferguson.jpg
Valour FC,Marco Bustos,m,22,Canada,1996-04-22,Marco-Bustos.jpg
Valour FC,Federico Peña,f,77,Canada,1999-03-30,Federico-Peña.jpg
Valour FC,José Antonio Galán Pedrosa,m,21,Spain,1986-02-02,empty.jpg
Valour FC,Michele Paolucci,f,17,Italy,1986-02-06,empty.jpg
York9 FC,Nathan Ingham,g,1,Canada,1993-06-27,Nathan-Ingham.jpg
York9 FC,Daniel Gogarty,d,2,Canada,1996-12-07,Daniel-Gogarty.jpg
York9 FC,Morey Doner,d,3,Canada,1994-03-25,Morey-Doner.jpg
York9 FC,Justin Springer,d,5,Saint Kitts and Nevis,1993-07-08,Justin-Springer.jpg
York9 FC,Roger Thompson,d,6,Canada,1991-12-19,Roger-Thompson.jpg
York9 FC,Austin Ricci,f,7,Canada,1996-04-08,Austin-Ricci.jpg
York9 FC,Joseph Di Chiara,m,8,Canada,1992-01-30,Joseph-DiChiara.jpg
York9 FC,Manuel Aparicio,m,10,Canada,1995-09-17,Manuel-Aparicio.jpg
York9 FC,Emilio Estevez,m,11,Canada,1998-08-10,Emilio-Estevez.jpg
York9 FC,Simon Karlsson Adjei,f,12,Sweden,1993-11-10,Simon-KarlssonAdjei.jpg
York9 FC,Luca Gasparotto,d,13,Canada,1995-03-09,Luca-Gasparotto.jpg
York9 FC,Cyrus Rollocks,f,17,Canada,1998-03-03,Cyrus-Rollocks.jpg
York9 FC,Ryan Telfer,m,18,Canada,1994-03-04,Ryan-Telfer.jpg
York9 FC,Kyle Porter,m,19,Canada,1990-01-19,Kyle-Porter.jpg
York9 FC,Diyaeddine Abzi,d,20,Canada,1998-11-23,Diyaeddine-Abzi.jpg
York9 FC,Wataru Murofushi,m,23,Japan,1995-06-13,Wataru-Murofushi.jpg
York9 FC,Colm Vance,g,31,Canada,1992-08-31,Colm-Vance.jpg
York9 FC,Steven Furlano,d,77,Canada,1998-02-06,empty.jpg
York9 FC,Michael Cox,f,92,Canada,1992-08-02,Michael-Cox.jpg
York9 FC,Rodrigo Gattas,f,22,Chile,1991-12-02,empty.jpg
York9 FC,Matt Silva,g,1,Canada,1991-03-28,Matt-Silva.jpg
York9 FC,Emmanuel Zambazis,m,14,Canada,1997-04-24,Emmanuel-Zambazis.jpg
York9 FC,Stefan Lamanna,f,21,Canada,1995-07-31,empty.jpg
York9 FC,Matthew Silva,g,1,Canada,1991-03-28,Matthew-Silva.jpg
York9 FC,Michael Cox,f,92,Canada,1992-08-02,Michael-Cox.jpg
York9 FC,Stefan Lamanna,f,21,Canada,1995-07-31,Stefan-Lamanna.jpg
York9 FC,Steven Furlano,d,77,Canada,1998-02-06,empty.jpg
