team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
HFX,Cory Bent,23,m,365,1,0,177,98,60.0,20,30.0,7,58,6,0.5
ATO,Ben McKendry,22,m,408,0,0,287,213,58.8,4,0.0,2,58,22,0.5
ATO,Víctor Martínez Manrique,5,m,540,1,0,316,235,72.4,2,0.0,0,58,8,0.49
VFC,Dylan Carreiro,10,m,334,1,0,186,118,81.8,21,0.0,7,32,5,0.47
VFC,Stefan Cebara,14,m,458,0,0,308,202,80.5,2,0.0,4,45,6,0.46
CFC,Elliot Simmons,15,m,447,0,0,325,271,60.0,2,0.0,1,43,9,0.45
FCE,Hanson Boakai,10,m,309,0,0,200,126,92.6,12,25.0,2,41,7,0.43
Y9,Wataru Murofushi,23,m,329,0,0,247,212,100.0,1,0.0,3,28,3,0.41
FCE,Antony Caceres,20,m,248,0,1,125,75,83.3,2,0.0,4,35,5,0.39
CFC,Bruno Zebie,16,m,334,0,0,186,118,80.0,3,0.0,1,47,11,0.39
FCE,Yong-Chan Son,7,m,303,0,0,174,114,83.3,5,0.0,4,30,4,0.37
PFC,Sean Young,20,m,303,0,0,167,124,66.7,0,0.0,4,31,7,0.36
ATO,Ajay Khabra,23,m,308,0,0,162,134,92.0,1,0.0,1,34,4,0.35
PFC,Alessandro Hojabrpour,21,m,309,0,0,169,128,79.2,0,0.0,1,26,8,0.35
FCE,Chance Carter,14,m,203,0,0,113,85,100.0,0,0.0,2,21,7,0.33
Y9,Max Ferrari,16,m,158,0,0,81,46,71.4,5,50.0,1,28,3,0.32
VFC,Dante Campbell,48,m,227,0,0,157,95,71.4,1,0.0,1,29,6,0.32
PFC,Josh Heard,11,m,144,1,0,61,26,100.0,7,0.0,0,24,0,0.3
PFC,Noah Verhoeven,19,m,109,0,0,115,89,81.5,4,0.0,3,16,3,0.29
Y9,Chris Mannella,5,m,100,0,0,72,52,92.3,0,0.0,0,20,6,0.27
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.27
ATO,Antoine Coupland,11,m,97,0,0,29,12,100.0,0,0.0,0,16,4,0.24
VFC,Solomon Kojo Antwi,25,m,78,0,0,44,21,75.0,0,0.0,0,16,5,0.23
VFC,Moses Dyer,6,m,271,1,0,134,72,0.0,3,0.0,3,47,3,0.2
HFX,Scott Firth,15,m,8,0,0,7,6,100.0,0,0.0,1,0,0,0.2
HFX,Omar Kreim,8,m,253,1,0,136,70,0.0,5,0.0,1,40,6,0.19
ATO,Michel Djaozandry,12,m,6,0,0,4,1,100.0,0,0.0,0,2,1,0.19
Y9,Michael Petrasso,21,m,130,0,0,43,20,33.3,4,0.0,0,10,0,0.18
Y9,Isaiah Johnston,44,m,18,0,0,14,10,0.0,0,0.0,0,3,2,0.01
